Type	Allocations	Bytes
 - System.Linq.Enumerable.WhereSelectArrayIterator<,>	1	56
 - System.IO.TextWriter.SyncTextWriter	1	48
 - System.IO.TextWriter.NullTextWriter	1	40
 - System.IO.Stream.NullStream	1	32
 - System.Int64	1	24
 - System.Int32[][]	1	32
 - System.Globalization.TextInfo	1	64
 - System.Globalization.CalendarId[]	1	26
 - System.Globalization.CalendarData[]	1	208
 - System.Globalization.CalendarData	1	160
 - System.ExecutionEngineException	1	128
 - System.Exception	1	128
 - System.EventHandler<>	1	64
 - System.EventHandler	1	64
 - System.Double[]	1	208
 - System.Diagnostics.Tracing.RuntimeEventSource	1	320
 - System.Diagnostics.Tracing.NativeRuntimeEventSource	1	168
 - System.Diagnostics.Tracing.ActivityTracker	1	32
 - System.Diagnostics.Stopwatch	1	40
 - System.DBNull	1	24
 - System.ConsolePal.WindowsConsoleStream	1	56
 - System.Console.<>c	1	24
 - System.Collections.Specialized.NameValueCollection	1	80
 - System.Collections.Hashtable.SyncHashtable	1	80
 - System.Collections.Generic.NonRandomizedStringEqualityComparer	1	24
 - System.Collections.Generic.GenericArraySortHelper<>	1	24
 - System.AppDomain	1	72
 - System.Action<,,>	1	64
 - System.__ComObject	1	24
 - ODataWriterVsSystemTextJson.ODataSyncExperimentWriter	1	32
 - ODataWriterVsSystemTextJson.ODataExperimentWriter	1	32
 - ODataWriterVsSystemTextJson.JsonExperimentWriter	1	24
 - ODataWriterVsSystemTextJson.InMemoryMessage	1	72
 - Microsoft.Win32.SafeHandles.SafeLibraryHandle	1	32
 - Microsoft.OData.UriParser.ParameterAliasValueAccessor	1	32
 - Microsoft.OData.Ref<>	1	24
 - Microsoft.OData.PropertyCacheHandler	1	56
 - Microsoft.OData.ODataWriterCore.ScopeStack	1	24
 - Microsoft.OData.ODataWriterCore.<>c	1	24
 - Microsoft.OData.ODataSimplifiedOptions	1	24
 - Microsoft.OData.ODataResourceBase.<>c	1	24
 - Microsoft.OData.ODataRawValueFormat	1	24
 - Microsoft.OData.ODataPreferenceHeader	1	40
 - Microsoft.OData.ODataPayloadValueConverter	1	24
 - Microsoft.OData.ODataPayloadKind[]	1	88
 - Microsoft.OData.ODataMetadataFormat	1	24
 - Microsoft.OData.ODataMessageWriter.<>c__DisplayClass27_0	1	32
 - Microsoft.OData.ODataMessageWriter	1	112
 - Microsoft.OData.ODataMessageInfo	1	72
 - Microsoft.OData.ODataMediaTypeResolver	1	24
 - Microsoft.OData.ODataMediaType.<>c	1	24
 - Microsoft.OData.ODataInstanceAnnotation[]	1	24
 - Microsoft.OData.ODataFunction[]	1	24
 - Microsoft.OData.ODataContextUrlInfo	1	80
 - Microsoft.OData.ODataAction[]	1	24
 - Microsoft.OData.MultipartMixed.ODataMultipartMixedBatchFormat	1	24
 - Microsoft.OData.Metadata.EdmTypeWriterResolver	1	24
 - Microsoft.OData.MediaTypeUtils.MatchInfoConcurrentCache	1	24
 - Microsoft.OData.JsonLightInstanceAnnotationWriter	1	72
 - Microsoft.OData.JsonLight.ODataJsonLightWriter	1	168
 - Microsoft.OData.JsonLight.ODataJsonLightResourceSerializer.<>c__DisplayClass12_0	1	40
 - Microsoft.OData.JsonLight.ODataJsonLightResourceSerializer	1	96
 - Microsoft.OData.JsonLight.ODataJsonLightPropertySerializer	1	96
 - Microsoft.OData.JsonLight.ODataJsonLightOutputContext	1	192
 - Microsoft.OData.JsonLight.JsonMinimalMetadataTypeNameOracle	1	24
